"income","age","education","petition_signed","g"
3,25,5,0,0.204564646085908
2,73,2,0,0.0348056788873994
2,18,3,1,0.107268801972655
4,44,6,1,0.237610671329088
8,44,3,0,0.117510194391789
1,36,5,0,0.156751373276714
2,89,3,0,0.0404199170470683
4,78,6,0,0.158718922313678
2,59,5,0,0.125530377976836
1,57,5,0,0.119977904814116
2,81,3,0,0.0452579347668816
2,30,3,0,0.0914454311946546
1,66,1,0,0.0243185804170386
6,42,6,0,0.274063615246147
1,48,3,0,0.0664244330256082
9,75,3,0,0.0837233120843362
4,85,4,0,0.072136242262609
4,76,6,1,0.162701488077493
1,58,6,0,0.165783870470783
2,60,3,0,0.0607094951168089
5,49,5,0,0.175065901472731
1,69,3,0,0.0495951283242398
4,69,3,0,0.0624031619917989
4,42,2,0,0.0628154741167375
1,60,6,0,0.161740429518166
1,85,5,0,0.0827144809163404
9,49,3,1,0.118267082500976
9,61,7,0,0.349843723153734
1,72,3,0,0.0475486025119054
8,65,6,0,0.240219975932394
3,75,4,0,0.076718728984634
3,23,5,0,0.209411223500506
7,27,6,1,0.33815009545418
3,62,7,1,0.24581236662109
6,35,5,0,0.220569350379184
1,54,3,0,0.0611377424969454
3,67,7,1,0.232385259217531
5,28,7,1,0.387718799109839
5,66,6,0,0.19630835864919
2,63,4,0,0.0838062464765395
1,89,1,0,0.0174388616920704
2,90,3,0,0.0398511579352401
5,46,5,0,0.181554666637423
8,44,6,1,0.301232564974878
3,59,5,1,0.134706239895564
10,49,6,0,0.32015494769726
6,80,7,0,0.241673093196507
6,85,3,0,0.0582097524748251
3,54,3,0,0.0711375630017242
9,71,7,0,0.317049688991912
4,68,7,0,0.244427316911991
2,41,3,0,0.0788181865414235
1,77,2,0,0.0303923384066399
4,61,6,0,0.195162568563363
3,57,2,0,0.0471900700174483
3,34,3,0,0.0932933305139899
4,66,2,0,0.0449158601445203
2,85,5,0,0.0890794530702101
9,68,7,0,0.326716782870995
1,29,6,1,0.233677857758995
7,68,7,1,0.292087594932321
8,40,6,0,0.313807079271486
9,51,7,0,0.384121966244872
9,64,3,0,0.0970535994505569
5,70,5,0,0.134682127553237
6,60,7,0,0.299799283235007
5,51,3,0,0.0860490295521493
4,63,3,0,0.0677913746285346
7,68,6,0,0.218084816992517
5,56,3,1,0.0804182079376302
8,64,3,0,0.0901752566053834
6,56,3,0,0.086623165913363
7,59,6,0,0.241588807668353
5,34,2,1,0.0756151577522607
7,72,6,0,0.208182280015231
2,46,1,0,0.0350424630836237
7,65,5,0,0.16463104725096
8,65,6,0,0.240219975932394
2,79,1,0,0.0218229842275461
